,hyp,ref,src,tgt,model,task,labels,label,p(Hallucination),text
280,This isn't your house anymore.,either,This is not your house anymore.,You don't live here anymore.,,PG,"['Not Hallucination', 'Not Hallucination', 'Not Hallucination', 'Not Hallucination', 'Not Hallucination']",Not Hallucination,0.0,"### user: For the task PG Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: This is not your house anymore.
Hypothesis: This isn't your house anymore.
Target: You don't live here anymore.
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: NO"
281,"I'm sorry I can't take your call right now, okay?",either,I'm sorry I can't take your call right now.,I can't get to the phone.,,PG,"['Not Hallucination', 'Hallucination', 'Not Hallucination', 'Hallucination', 'Not Hallucination']",Not Hallucination,0.4,"### user: For the task PG Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: I'm sorry I can't take your call right now.
Hypothesis: I'm sorry I can't take your call right now, okay?
Target: I can't get to the phone.
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: NO"
282,"You've got the heat, huh?",either,Do you have the fever?,Have you got a temperature?,,PG,"['Hallucination', 'Not Hallucination', 'Hallucination', 'Hallucination', 'Not Hallucination']",Hallucination,0.6000000000000001,"### user: For the task PG Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: Do you have the fever?
Hypothesis: You've got the heat, huh?
Target: Have you got a temperature?
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: YES"
283,She's going to be able to have a baby.,either,She's gonna have a baby.,She's having the baby.,,PG,"['Hallucination', 'Not Hallucination', 'Not Hallucination', 'Not Hallucination', 'Hallucination']",Not Hallucination,0.4,"### user: For the task PG Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: She's gonna have a baby.
Hypothesis: She's going to be able to have a baby.
Target: She's having the baby.
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: NO"
284,"She says it's urgent, she says.",either,"It's urgent, she says.",She said it's urgent.,,PG,"['Not Hallucination', 'Hallucination', 'Not Hallucination', 'Not Hallucination', 'Hallucination']",Not Hallucination,0.4,"### user: For the task PG Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: It's urgent, she says.
Hypothesis: She says it's urgent, she says.
Target: She said it's urgent.
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: NO"
285,I'll be right.,either,I'll be right with you.,See you in a moment.,,PG,"['Hallucination', 'Hallucination', 'Hallucination', 'Not Hallucination', 'Hallucination']",Hallucination,0.8,"### user: For the task PG Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: I'll be right with you.
Hypothesis: I'll be right.
Target: See you in a moment.
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: YES"
286,He'll keep you in safety.,either,He'll keep you safe.,He's protecting you.,,PG,"['Not Hallucination', 'Not Hallucination', 'Not Hallucination', 'Hallucination', 'Not Hallucination']",Not Hallucination,0.2,"### user: For the task PG Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: He'll keep you safe.
Hypothesis: He'll keep you in safety.
Target: He's protecting you.
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: NO"
287,We're being picked up.,either,We're being tracked.,We have a tail.,,PG,"['Hallucination', 'Hallucination', 'Hallucination', 'Not Hallucination', 'Hallucination']",Hallucination,0.8,"### user: For the task PG Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: We're being tracked.
Hypothesis: We're being picked up.
Target: We have a tail.
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: YES"
288,I'm just a little concerned.,either,I'm just concerned.,"I just worry, you know?",,PG,"['Hallucination', 'Hallucination', 'Hallucination', 'Hallucination', 'Hallucination']",Hallucination,1.0,"### user: For the task PG Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: I'm just concerned.
Hypothesis: I'm just a little concerned.
Target: I just worry, you know?
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: YES"
289,"I'm gonna make a call, and I'm gonna make a call, okay?",either,I'm gonna make a call.,"I gotta make a quick call, all right?",,PG,"['Hallucination', 'Hallucination', 'Not Hallucination', 'Not Hallucination', 'Not Hallucination']",Not Hallucination,0.4,"### user: For the task PG Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: I'm gonna make a call.
Hypothesis: I'm gonna make a call, and I'm gonna make a call, okay?
Target: I gotta make a quick call, all right?
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: NO"
290,"I'm just doing the best I can, you know, to get out of here.",either,I'm doing the best that I can.,What I do is the best I can do.,,PG,"['Hallucination', 'Hallucination', 'Hallucination', 'Not Hallucination', 'Hallucination']",Hallucination,0.8,"### user: For the task PG Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: I'm doing the best that I can.
Hypothesis: I'm just doing the best I can, you know, to get out of here.
Target: What I do is the best I can do.
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: YES"
291,"She's a sweet, sweet little girl.",either,She's a darling girl.,She's a sweetheart.,,PG,"['Not Hallucination', 'Not Hallucination', 'Hallucination', 'Hallucination', 'Not Hallucination']",Not Hallucination,0.4,"### user: For the task PG Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: She's a darling girl.
Hypothesis: She's a sweet, sweet little girl.
Target: She's a sweetheart.
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: NO"
292,Are you gonna listen to this?,either,Are you listening to this?,"Hey, you hear that?",,PG,"['Hallucination', 'Not Hallucination', 'Hallucination', 'Not Hallucination', 'Hallucination']",Hallucination,0.6000000000000001,"### user: For the task PG Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: Are you listening to this?
Hypothesis: Are you gonna listen to this?
Target: Hey, you hear that?
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: YES"
293,"And, uh, she's doing a good job.",either,And she's doing good.,She's all right.,,PG,"['Hallucination', 'Hallucination', 'Not Hallucination', 'Not Hallucination', 'Hallucination']",Hallucination,0.6000000000000001,"### user: For the task PG Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: And she's doing good.
Hypothesis: And, uh, she's doing a good job.
Target: She's all right.
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: YES"
294,"Hey, kid, you did a good job, and you're a good one.",either,"Kid, you did a good job.","Yeah, you really did a great job, kid.",,PG,"['Hallucination', 'Not Hallucination', 'Hallucination', 'Hallucination', 'Hallucination']",Hallucination,0.8,"### user: For the task PG Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: Kid, you did a good job.
Hypothesis: Hey, kid, you did a good job, and you're a good one.
Target: Yeah, you really did a great job, kid.
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: YES"
295,Be out in seconds.,either,Be out in a sec.,Be right there.,,PG,"['Not Hallucination', 'Not Hallucination', 'Hallucination', 'Not Hallucination', 'Not Hallucination']",Not Hallucination,0.2,"### user: For the task PG Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: Be out in a sec.
Hypothesis: Be out in seconds.
Target: Be right there.
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: NO"
296,Your fly is undone.,either,Your fly is unzipped.,Your zipper's down.,,PG,"['Not Hallucination', 'Not Hallucination', 'Not Hallucination', 'Not Hallucination', 'Hallucination']",Not Hallucination,0.2,"### user: For the task PG Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: Your fly is unzipped.
Hypothesis: Your fly is undone.
Target: Your zipper's down.
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: NO"
297,Just put some pressure on this one.,either,Just put some pressure on here.,Press on this thing.,,PG,"['Not Hallucination', 'Not Hallucination', 'Not Hallucination', 'Not Hallucination', 'Not Hallucination']",Not Hallucination,0.0,"### user: For the task PG Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: Just put some pressure on here.
Hypothesis: Just put some pressure on this one.
Target: Press on this thing.
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: NO"
298,I'm loving the football.,either,I am loving soccer.,I love football.,,PG,"['Not Hallucination', 'Not Hallucination', 'Not Hallucination', 'Not Hallucination', 'Hallucination']",Not Hallucination,0.2,"### user: For the task PG Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: I am loving soccer.
Hypothesis: I'm loving the football.
Target: I love football.
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: NO"
299,What does it say upstairs?,either,What does it say up here?,What is written here?,,PG,"['Hallucination', 'Hallucination', 'Hallucination', 'Hallucination', 'Hallucination']",Hallucination,1.0,"### user: For the task PG Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: What does it say up here?
Hypothesis: What does it say upstairs?
Target: What is written here?
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: YES"
300,And how'd you get on your flight?,either,And how was your flight?,Did you have a good flight?,,PG,"['Hallucination', 'Hallucination', 'Hallucination', 'Hallucination', 'Not Hallucination']",Hallucination,0.8,"### user: For the task PG Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: And how was your flight?
Hypothesis: And how'd you get on your flight?
Target: Did you have a good flight?
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: YES"
301,It's been 6 weeks now.,either,It's been six weeks.,"Six weeks, Martin.",,PG,"['Not Hallucination', 'Not Hallucination', 'Not Hallucination', 'Not Hallucination', 'Not Hallucination']",Not Hallucination,0.0,"### user: For the task PG Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: It's been six weeks.
Hypothesis: It's been 6 weeks now.
Target: Six weeks, Martin.
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: NO"
302,You're gonna have to work.,either,Carry on working.,Get on with your work.,,PG,"['Not Hallucination', 'Hallucination', 'Hallucination', 'Not Hallucination', 'Not Hallucination']",Not Hallucination,0.4,"### user: For the task PG Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: Carry on working.
Hypothesis: You're gonna have to work.
Target: Get on with your work.
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: NO"
303,"Well, didn't you enjoy it?",either,"Well, didn't you like it?",You didn't enjoy it?,,PG,"['Not Hallucination', 'Not Hallucination', 'Not Hallucination', 'Not Hallucination', 'Hallucination']",Not Hallucination,0.2,"### user: For the task PG Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: Well, didn't you like it?
Hypothesis: Well, didn't you enjoy it?
Target: You didn't enjoy it?
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: NO"
304,Didn't you come with us today?,either,I thought you were coming with us?,Won't you come along?,,PG,"['Hallucination', 'Not Hallucination', 'Not Hallucination', 'Not Hallucination', 'Hallucination']",Not Hallucination,0.4,"### user: For the task PG Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: I thought you were coming with us?
Hypothesis: Didn't you come with us today?
Target: Won't you come along?
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: NO"
305,You think you can do that?,either,Can you manage that?,Do you feel up to that?,,PG,"['Not Hallucination', 'Hallucination', 'Not Hallucination', 'Hallucination', 'Not Hallucination']",Not Hallucination,0.4,"### user: For the task PG Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: Can you manage that?
Hypothesis: You think you can do that?
Target: Do you feel up to that?
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: NO"
306,"I'm sorry, I've got to do this by myself.",either,I need to do this alone.,It's just something I need to do by myself.,,PG,"['Hallucination', 'Not Hallucination', 'Not Hallucination', 'Not Hallucination', 'Not Hallucination']",Not Hallucination,0.2,"### user: For the task PG Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: I need to do this alone.
Hypothesis: I'm sorry, I've got to do this by myself.
Target: It's just something I need to do by myself.
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: NO"
307,"We don't have the money to risk it, all right?",either,We can't afford to risk it.,We can't risk that.,,PG,"['Not Hallucination', 'Hallucination', 'Hallucination', 'Hallucination', 'Not Hallucination']",Hallucination,0.6000000000000001,"### user: For the task PG Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: We can't afford to risk it.
Hypothesis: We don't have the money to risk it, all right?
Target: We can't risk that.
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: YES"
308,"Uh, just for a couple of days.",either,"Eh, just a few days.",Just a couple of days.,,PG,"['Hallucination', 'Not Hallucination', 'Not Hallucination', 'Not Hallucination', 'Not Hallucination']",Not Hallucination,0.2,"### user: For the task PG Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: Eh, just a few days.
Hypothesis: Uh, just for a couple of days.
Target: Just a couple of days.
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: NO"
309,I'm not in any of this at all.,either,I'm not involved in this.,I don't have anything to do with that.,,PG,"['Not Hallucination', 'Not Hallucination', 'Not Hallucination', 'Hallucination', 'Not Hallucination']",Not Hallucination,0.2,"### user: For the task PG Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: I'm not involved in this.
Hypothesis: I'm not in any of this at all.
Target: I don't have anything to do with that.
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: NO"
310,"Just breathe deep, and I'll be right there.",either,Just breathe deep.,"Just take long, deep breaths.",,PG,"['Not Hallucination', 'Hallucination', 'Not Hallucination', 'Not Hallucination', 'Not Hallucination']",Not Hallucination,0.2,"### user: For the task PG Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: Just breathe deep.
Hypothesis: Just breathe deep, and I'll be right there.
Target: Just take long, deep breaths.
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: NO"
311,I never told you that before.,either,I never told you that.,I said nothing of the kind.,,PG,"['Not Hallucination', 'Not Hallucination', 'Not Hallucination', 'Not Hallucination', 'Not Hallucination']",Not Hallucination,0.0,"### user: For the task PG Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: I never told you that.
Hypothesis: I never told you that before.
Target: I said nothing of the kind.
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: NO"
312,John and John are the only one of them.,either,Джон и Энн нравятся друг другу.,John and Ann like each other.,,MT,"['Hallucination', 'Hallucination', 'Hallucination', 'Hallucination', 'Hallucination']",Hallucination,1.0,"### user: For the task MT Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: Джон и Энн нравятся друг другу.
Hypothesis: John and John are the only one of them.
Target: John and Ann like each other.
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: YES"
313,"How about Tom and French? - ""Not bad.""",either,"Как у Тома с французским? - ""Неплохо"".","How's Tom's French? ""Pretty good.""",,MT,"['Not Hallucination', 'Hallucination', 'Not Hallucination', 'Not Hallucination', 'Hallucination']",Not Hallucination,0.4,"### user: For the task MT Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: Как у Тома с французским? - ""Неплохо"".
Hypothesis: How about Tom and French? - ""Not bad.""
Target: How's Tom's French? ""Pretty good.""
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: NO"
314,I think that's why you need to dress up.,either,"Я думаю, Тому нужно переодеться.",I think Tom needs to change his clothes.,,MT,"['Hallucination', 'Hallucination', 'Hallucination', 'Hallucination', 'Hallucination']",Hallucination,1.0,"### user: For the task MT Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: Я думаю, Тому нужно переодеться.
Hypothesis: I think that's why you need to dress up.
Target: I think Tom needs to change his clothes.
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: YES"
315,I would be Canadian!,either,Был бы я канадец!,I wish I were a Canadian.,,MT,"['Hallucination', 'Not Hallucination', 'Hallucination', 'Not Hallucination', 'Hallucination']",Hallucination,0.6000000000000001,"### user: For the task MT Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: Был бы я канадец!
Hypothesis: I would be Canadian!
Target: I wish I were a Canadian.
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: YES"
316,The classmates called Tom.,either,Одноклассники обзывали Тома.,Tom's classmates called him names.,,MT,"['Not Hallucination', 'Hallucination', 'Hallucination', 'Hallucination', 'Not Hallucination']",Hallucination,0.6000000000000001,"### user: For the task MT Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: Одноклассники обзывали Тома.
Hypothesis: The classmates called Tom.
Target: Tom's classmates called him names.
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: YES"
317,"Excuse me, you're serious?",either,"Подожди, ты это серьёзно?","Whoa, are you serious?",,MT,"['Not Hallucination', 'Not Hallucination', 'Not Hallucination', 'Not Hallucination', 'Not Hallucination']",Not Hallucination,0.0,"### user: For the task MT Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: Подожди, ты это серьёзно?
Hypothesis: Excuse me, you're serious?
Target: Whoa, are you serious?
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: NO"
318,The room Toma looks like a piggy bank.,either,Комната Тома похожа на свинарник.,Tom's room looks like a pigsty.,,MT,"['Hallucination', 'Hallucination', 'Hallucination', 'Hallucination', 'Not Hallucination']",Hallucination,0.8,"### user: For the task MT Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: Комната Тома похожа на свинарник.
Hypothesis: The room Toma looks like a piggy bank.
Target: Tom's room looks like a pigsty.
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: YES"
319,What do you do you want to do?,either,"Думаешь, нам удастся когда-нибудь на этом заработать?",Do you think that we'll ever make money doing this?,,MT,"['Hallucination', 'Hallucination', 'Hallucination', 'Hallucination', 'Hallucination']",Hallucination,1.0,"### user: For the task MT Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: Думаешь, нам удастся когда-нибудь на этом заработать?
Hypothesis: What do you do you want to do?
Target: Do you think that we'll ever make money doing this?
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: YES"
320,You can go with me perfectly.,either,Ты вполне можешь пойти со мной.,You may as well come with me.,,MT,"['Not Hallucination', 'Hallucination', 'Hallucination', 'Not Hallucination', 'Hallucination']",Hallucination,0.6000000000000001,"### user: For the task MT Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: Ты вполне можешь пойти со мной.
Hypothesis: You can go with me perfectly.
Target: You may as well come with me.
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: YES"
321,That’s why no one has done anything except themselves.,either,"Тому ни до кого нет дела, кроме себя самого.",Tom doesn't care about anyone but himself.,,MT,"['Hallucination', 'Not Hallucination', 'Hallucination', 'Hallucination', 'Hallucination']",Hallucination,0.8,"### user: For the task MT Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: Тому ни до кого нет дела, кроме себя самого.
Hypothesis: That’s why no one has done anything except themselves.
Target: Tom doesn't care about anyone but himself.
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: YES"
322,That’s why someone told their story.,either,Тому было некому рассказать свою историю.,Tom had no one to tell his story to.,,MT,"['Hallucination', 'Hallucination', 'Hallucination', 'Hallucination', 'Hallucination']",Hallucination,1.0,"### user: For the task MT Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: Тому было некому рассказать свою историю.
Hypothesis: That’s why someone told their story.
Target: Tom had no one to tell his story to.
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: YES"
323,Cold not during the season.,either,Холодно не по сезону.,It's unseasonably cold.,,MT,"['Not Hallucination', 'Hallucination', 'Not Hallucination', 'Hallucination', 'Hallucination']",Hallucination,0.6000000000000001,"### user: For the task MT Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: Холодно не по сезону.
Hypothesis: Cold not during the season.
Target: It's unseasonably cold.
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: YES"
324,Please pay attention. Now I start listening to the patient. Make sure that you have followed the correct implementation of this procedure - you need to contact its use tomorrow.,either,"Пожалуйста, все внимание. Сейчас я приступаю к прослушиванию пациента. Убедитесь, что отследили правильность выполнения этой процедуры - вам предстоит обратиться к её использованию завтра.","If everyone could pay close attention, please. I will now auscultate the patient. Make sure to note the proper procedure because you all will be practicing this tomorrow.",,MT,"['Not Hallucination', 'Not Hallucination', 'Not Hallucination', 'Not Hallucination', 'Hallucination']",Not Hallucination,0.2,"### user: For the task MT Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: Пожалуйста, все внимание. Сейчас я приступаю к прослушиванию пациента. Убедитесь, что отследили правильность выполнения этой процедуры - вам предстоит обратиться к её использованию завтра.
Hypothesis: Please pay attention. Now I start listening to the patient. Make sure that you have followed the correct implementation of this procedure - you need to contact its use tomorrow.
Target: If everyone could pay close attention, please. I will now auscultate the patient. Make sure to note the proper procedure because you all will be practicing this tomorrow.
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: NO"
325,Aren't you familiar with Tom's brother?,either,Вы ведь не знакомы с братом Тома?,"You don't know Tom's brother, do you?",,MT,"['Not Hallucination', 'Not Hallucination', 'Not Hallucination', 'Not Hallucination', 'Not Hallucination']",Not Hallucination,0.0,"### user: For the task MT Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: Вы ведь не знакомы с братом Тома?
Hypothesis: Aren't you familiar with Tom's brother?
Target: You don't know Tom's brother, do you?
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: NO"
326,That's unacceptable.,either,Том нерешителен.,Tom is indecisive.,,MT,"['Hallucination', 'Hallucination', 'Hallucination', 'Hallucination', 'Hallucination']",Hallucination,1.0,"### user: For the task MT Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: Том нерешителен.
Hypothesis: That's unacceptable.
Target: Tom is indecisive.
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: YES"
